text,label
Hi,Greeting
Hello,Greeting
Hey,Greeting
Greetings,Greeting
Good day,Greeting
Hi there,Greeting
Howdy,Greeting
What's up,Greeting
Hello there,Greeting
Good morning,Greeting
Good evening,Greeting
Yo,Greeting
Hey there,Greeting
Salutations,Greeting
"Hi, how are you?",Greeting
"Hello, how’s it going?",Greeting
A pleasant day to you,Greeting
"Hey, how have you been?",Greeting
Good afternoon,Greeting
Hi friend,Greeting
Hello mate,Greeting
"Hi, what’s new?",Greeting
"Hello, what’s happening?",Greeting
Hey buddy,Greeting
"Hi, nice to meet you",Greeting
Hello stranger,Greeting
Hey pal,Greeting
"Hey, long time no see",Greeting
Good to see you,Greeting
"Hey, it’s been a while",Greeting
"Hi there, how have things been?",Greeting
"Greetings, how may I assist you?",Greeting
"Good day, friend",Greeting
"Hi there, ready to chat?",Greeting
"What’s up, how’s your day?",Greeting
"Hey, how can I help today?",Greeting
"Hello there, looking for something?",Greeting
"Hi, need assistance?",Greeting
"Hey, what brings you here?",Greeting
"Hello, let’s get started!",Greeting
"Good morning, what’s the plan?",Greeting
"Hey there, how’s your morning?",Greeting
"Good day to you, let’s talk!",Greeting
"Hi, ready to get going?",Greeting
"Hello, hope you're well",Greeting
"Greetings, what’s new today?",Greeting
"Hey, good to have you here",Greeting
"Hello, let’s make today productive",Greeting
"Hi there, all set?",Greeting
"Hey, it’s great to see you!",Greeting
My user is Adam,GreetingResponse
This is Adam,GreetingResponse
I am Adam,GreetingResponse
It is Adam,GreetingResponse
Adam speaking,GreetingResponse
You’re talking to Adam,GreetingResponse
Adam here,GreetingResponse
Adam is my name,GreetingResponse
Adam’s the name,GreetingResponse
I go by Adam,GreetingResponse
This is Bella,GreetingResponse
Bella speaking,GreetingResponse
I am Bella,GreetingResponse
It’s Bella,GreetingResponse
Bella here,GreetingResponse
Bella is my name,GreetingResponse
You’re talking to Bella,GreetingResponse
I go by Bella,GreetingResponse
Bella’s the name,GreetingResponse
Call me Adam,GreetingResponse
Adam reporting,GreetingResponse
"It’s me, Adam",GreetingResponse
"Hello, I’m Adam",GreetingResponse
Bella’s reporting,GreetingResponse
"Hey, this is Adam",GreetingResponse
"Hello, I’m Bella",GreetingResponse
This is Adam responding,GreetingResponse
"Yes, it’s Adam",GreetingResponse
"Confirmed, this is Adam",GreetingResponse
"Yes, this is Bella",GreetingResponse
You got Adam,GreetingResponse
Bella’s on the line,GreetingResponse
"I am Adam, how can I help?",GreetingResponse
My name is Bella,GreetingResponse
Adam in the house,GreetingResponse
"Hi, Adam here",GreetingResponse
Bella at your service,GreetingResponse
"Hello, Bella here",GreetingResponse
Adam at your service,GreetingResponse
I respond to Adam,GreetingResponse
Bella responding,GreetingResponse
Adam is my user name,GreetingResponse
I go by the name Adam,GreetingResponse
You can call me Adam,GreetingResponse
Adam checking in,GreetingResponse
Bella checking in,GreetingResponse
I’m known as Adam,GreetingResponse
They call me Bella,GreetingResponse
I answer to Adam,GreetingResponse
"Adam, that’s me",GreetingResponse
"Yes, my name is Bella",GreetingResponse
It’s Bella you’re speaking to,GreetingResponse
What is my name?,CurrentHumanQuery
What do you call me?,CurrentHumanQuery
Who do you think I am?,CurrentHumanQuery
What do you think I am?,CurrentHumanQuery
Who are you talking to?,CurrentHumanQuery
What name do you call me by?,CurrentHumanQuery
Tell me my name,CurrentHumanQuery
Can you remind me of my name?,CurrentHumanQuery
Do you remember my name?,CurrentHumanQuery
What do you know me as?,CurrentHumanQuery
How do you address me?,CurrentHumanQuery
"I forgot, what’s my name?",CurrentHumanQuery
Identify me by name,CurrentHumanQuery
Who am I to you?,CurrentHumanQuery
Say my name,CurrentHumanQuery
I want to know what you call me,CurrentHumanQuery
Recall my name,CurrentHumanQuery
How do you refer to me?,CurrentHumanQuery
"You know me, right? What’s my name?",CurrentHumanQuery
Give me my name,CurrentHumanQuery
Let me know what I’m called,CurrentHumanQuery
What label do I go by?,CurrentHumanQuery
Tell me how you know me,CurrentHumanQuery
What is the name you associate with me?,CurrentHumanQuery
Repeat my name,CurrentHumanQuery
Say the name you know me by,CurrentHumanQuery
How do you identify me?,CurrentHumanQuery
"Remind me, what’s my name?",CurrentHumanQuery
Give me the name you have on record,CurrentHumanQuery
I’d like to hear my name,CurrentHumanQuery
Call me by my name,CurrentHumanQuery
Address me by my name,CurrentHumanQuery
You should know me—what’s my name?,CurrentHumanQuery
I’m curious—what name do you use for me?,CurrentHumanQuery
Let me hear my name,CurrentHumanQuery
I’d like to confirm my name,CurrentHumanQuery
What do you have me listed as?,CurrentHumanQuery
What’s the name on file for me?,CurrentHumanQuery
Recall and tell me my name,CurrentHumanQuery
What’s the first name you remember for me?,CurrentHumanQuery
List the name you have for me,CurrentHumanQuery
What is the exact name you have for me?,CurrentHumanQuery
Do you have a name for me?,CurrentHumanQuery
What do you address me as?,CurrentHumanQuery
Confirm my name,CurrentHumanQuery
Reveal my name,CurrentHumanQuery
Is my name in your memory?,CurrentHumanQuery
I’d like to hear you say my name,CurrentHumanQuery
What’s my identity in your system?,CurrentHumanQuery
By what name do you recognize me?,CurrentHumanQuery
I need you to say my name now,CurrentHumanQuery
What’s your name?,NameQuery
Could you tell me your name?,NameQuery
How should I address you?,NameQuery
What do people usually call you?,NameQuery
Could I know your name?,NameQuery
Who am I talking to?,NameQuery
What name should I use for you?,NameQuery
